"id_docente";"nome";"tipo";"nome_instituicao";"ano_inicio";"ano_fim";"outras_informacoes"
23;Francisco José da Silva e Silva;Revisor de periódico;INFOCOMP. Journal of Computer Science;2006;"2006";""
15;Geraldo Braz Júnior;Revisor de periódico;Expert Systems With Applications;2023;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Biomedical Signal Processing & Control;2023;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Engineering Applications of Artificial Intelligence;2023;"";""
15;Geraldo Braz Júnior;Revisor de periódico;iSys - Revista Brasileira de Sistemas de Informação;2023;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Big Data and Cognitive Computing;2023;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Symmetry-Basel;2022;"";""
15;Geraldo Braz Júnior;Revisor de periódico;SENSORS;2022;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Medical Imaging;2022;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Applied Sciences;2022;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Neuroscience Informatics;2021;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Journal of Ambient Intelligence and Humanized Computing;2020;"2021";""
15;Geraldo Braz Júnior;Revisor de periódico;Journal of Engineering and Business;2020;"2020";""
15;Geraldo Braz Júnior;Revisor de periódico;Journal of King Saud University;2020;"2021";""
15;Geraldo Braz Júnior;Revisor de periódico;Pattern Recognition Letters;2019;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Revista Eletrônica de Iniciação Científica em Computação;2018;"2019";""
15;Geraldo Braz Júnior;Membro de comitê assessor;Conselho Nacional de Desenvolvimento Científico e Tecnológico;2018;"";""
15;Geraldo Braz Júnior;Revisor de periódico;COMPUTERS IN BIOLOGY AND MEDICINE;2018;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Multimedia Tools and Applications;2016;"";""
15;Geraldo Braz Júnior;Revisor de periódico;Current Medical Imaging Reviews;2014;"2016";"ISSN: 1875-6603 (Online)&#10;ISSN: 1573-4056 (Print)"
15;Geraldo Braz Júnior;Membro de comitê assessor;Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;2014;"2020";""
15;Geraldo Braz Júnior;Revisor de periódico;Revista IEEE América Latina;2013;"2020";""
53;Guilherme Amaral Avelino;Revisor de periódico;Soft Computing;2022;"";""
53;Guilherme Amaral Avelino;Revisor de periódico;Journal of Software: Evolution and Process;2021;"";""
53;Guilherme Amaral Avelino;Revisor de periódico;Journal of Software Engineering and Research Development;2019;"";""
38;Ivan Saraiva Silva;Revisor de periódico;JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING;2017;"";""
38;Ivan Saraiva Silva;Revisor de periódico;Concurrency and Computation;2016;"";""
38;Ivan Saraiva Silva;Revisor de periódico;Advances in Computer Engineering;2014;"";"Informações sobre o periódico:&#10;&#10;http://www.hindawi.com/journals/aceng/&#10;&#10;ISSN: 2356-6620 (Print)&#10;ISSN: 2314-7601 (Online)&#10;DOI: 10.1155/5360"
38;Ivan Saraiva Silva;Revisor de periódico;Design Automation for Embedded Systems;2014;"";""
38;Ivan Saraiva Silva;Revisor de periódico;International Journal of Embedded Systems;2013;"";""
38;Ivan Saraiva Silva;Revisor de periódico;Analog Integrated Circuits and Signal Processing;2011;"";""
46;João Carlos de Oliveira Souza;Membro de comitê assessor;Universidade Federal do Delta do Parnaíba;2022;"";""
46;João Carlos de Oliveira Souza;Revisor de periódico;JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS;2022;"";""
46;João Carlos de Oliveira Souza;Membro de comitê assessor;Universidade Federal de Ouro Preto;2021;"";""
46;João Carlos de Oliveira Souza;Membro de comitê assessor;Fundação Universidade Federal do Piauí;2021;"";""
46;João Carlos de Oliveira Souza;Revisor de projeto de fomento;Conselho Nacional de Desenvolvimento Científico e Tecnológico;2021;"";""
46;João Carlos de Oliveira Souza;Membro de corpo editorial;Revista Piauiense de Matemática;2020;"";""
46;João Carlos de Oliveira Souza;Revisor de periódico;COMPUTATIONAL OPTIMIZATION AND APPLICATIONS;2020;"";""
46;João Carlos de Oliveira Souza;Membro de corpo editorial;Proceeding Series of the Brazilian Society of Computational and Applied Mat;2020;"";""
46;João Carlos de Oliveira Souza;Revisor de periódico;Optimization and Engineering;2020;"";""
46;João Carlos de Oliveira Souza;Revisor de periódico;Journal of Fixed Point Theory and Applications;2019;"";""
46;João Carlos de Oliveira Souza;Revisor de periódico;NUMERICAL ALGORITHMS;2019;"";""
46;João Carlos de Oliveira Souza;Revisor de periódico;ANNALS OF OPERATIONS RESEARCH;2019;"";""
46;João Carlos de Oliveira Souza;Revisor de periódico;OPTIMIZATION;2019;"";""
46;João Carlos de Oliveira Souza;Revisor de periódico;COMPUTATIONAL AND APPLIED MATHEMATICS;2018;"";""
