"id_docente";"nome";"titulo";"tipo";"issn_ou_sigla";"nome_local";"ano";"qualis";"natureza";"percentile_ou_h5";"autores";"doi"
33;Alexandre César Muniz de Oliveira;Clustering Search;ARTIGO-PUBLICADO;"01017438";Pesquisa Operacional (Impresso);2013;B3;COMPLETO;21;"Alexandre César Muniz de Oliveira;Antonio Augusto Chaves;Luiz Antonio Nogueira Lorena;";""
33;Alexandre César Muniz de Oliveira;Model and heuristic for berth allocation in tidal bulk ports with stock level constraints;ARTIGO-PUBLICADO;"03608352";Computers & Industrial Engineering;2011;A1;COMPLETO;95;"Barros, Victor Hugo;Costa, Tarcísio Souza;Alexandre César Muniz de Oliveira;Lorena, Luiz A.N.;";"10.1016/j.cie.2010.12.018"
33;Alexandre César Muniz de Oliveira;o ?RESOLUÇÃO DO PROBLEMA DE ALOCAÇÃO DE BERÇOS ATRAVÉS DE UMA TÉCNICA DE GERAÇÃO DE COLUNAS;ARTIGO-PUBLICADO;"01017438";Pesquisa Operacional (Impresso);2010;B3;COMPLETO;21;"Geraldo Regis Mauri;Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";""
33;Alexandre César Muniz de Oliveira;Multi-Network-Feedback-Error-Learning with Automatic Insertion;TRABALHO-EM-EVENTOS;MODELS;"5TH INTERNATIONAL WORKSHOP (SOCO 2010) Advances in Soft Computing - SOFT COMPUTING MODELS IN INDUSTRIAL AND ENVIRONMENTAL APPLICATIONS";2010;A3;INTERNACIONAL;;"Paulo R. de A. Ribeiro;Alexandre César Muniz de Oliveira;Areolino Almeida Neto;";"10.1007/978-3-642-13161-5_22"
33;Alexandre César Muniz de Oliveira;Advances in Clustering Search;ARTIGO-PUBLICADO;"16153871";Advances in Soft Computing;2010;SQ;COMPLETO;;"Tarcisio Costa;Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";"10.1007/978-3-642-13161-5_29"
33;Alexandre César Muniz de Oliveira;Multi-Network-Feedback-Error-Learning in pelletizing plant control;TRABALHO-EM-EVENTOS;-;"2010 2nd International Conference on Advanced Computer Control - 2010 2nd International Conference on Advanced Computer Control";2010;SQ;INTERNACIONAL;;"DE ALMEIDA RIBEIRO, PAULO ROGERIO;DE ALMEIDA NETO, AREOLINO;Alexandre César Muniz de Oliveira;";"10.1109/icacc.2010.5486658"
33;Alexandre César Muniz de Oliveira;ESTRATÉGIAS DE CONTROLE PARA USINA DE PELOTIZAÇÃO DA VALE;ARTIGO-PUBLICADO;"21782229";Cadernos de Pesquisa;2009;A3;COMPLETO;;"Paulo R. de A. Ribeiro;Tarcisio S. Costa;Victor Hugo Barros;Areolino Almeida Neto;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Classification of breast tissues using Getis-Ord statistics and support vector machine;ARTIGO-PUBLICADO;"18724981";Intelligent Decision Technologies;2009;B3;COMPLETO;16;"Braz Junior, Geraldo;PAIVA, Anselmo Cardoso de;SILVA, Aristófanes Corrêa;Alexandre César Muniz de Oliveira;";"10.3233/IDT-2009-0055"
33;Alexandre César Muniz de Oliveira;Classification of breast tissues using Moran's index and Geary's coefficient as texture signatures and SVM;ARTIGO-PUBLICADO;"00104825";Computers in Biology and Medicine;2009;A1;COMPLETO;89;"Geraldo Braz Junior;Anselmo Cardoso de Paiva;Aristófanes Corrêa Silva;Alexandre César Muniz de Oliveira;";"10.1016/j.compbiomed.2009.08.009"
33;Alexandre César Muniz de Oliveira;Problema de Alocação de Berços Heterogêneos em Portos Graneleiros com Restrições de Estoque e Condições Favoráveis de Maré;TRABALHO-EM-EVENTOS;-;SIMPEP - Simpósio de Engenharia de Produção - ENSINO DE ENGENHARIA DE PRODUÇÃO: DESAFIOS, TENDÊNCIAS E PERSPECTIVAS;2009;SQ;NACIONAL;;"Victor Hugo Barros;Tarcisio S. Costa;Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";""
33;Alexandre César Muniz de Oliveira;Feedback-Error-Learning in pelletizing plant control;TRABALHO-EM-EVENTOS;-;ENIA - VII Encontro Nacional de Inteligência Artificial - XXIX Congresso da Sociedade Brasileira de Computação - Os Grandes Desafios Científicos e os Impactos da Computação na Sociedade;2009;SQ;NACIONAL;;"Paulo R. de A. Ribeiro;Tarcisio S. Costa;Victor Hugo Barros;Areolino Almeida Neto;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;A Fuzzy Admission Controller in a QoS-Aware Web Server Architecture;TRABALHO-EM-EVENTOS;HIS;Hybrid Intelligent Systems, 2008. HIS '08 - Eighth International Conference on Hybrid Intelligent Systems;2008;A4;INTERNACIONAL;;"Victor Hugo Barros;Alexandre César Muniz de Oliveira;Mario Antonio Meireles Teixeira;";"10.1109/HIS.2008.73"
33;Alexandre César Muniz de Oliveira;A Hybrid Column Generation Approach for the Berth Allocation Problem;ARTIGO-PUBLICADO;"03029743";Lecture Notes in Computer Science;2008;SQ;COMPLETO;;"Geraldo Regis Mauri;Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";"10.1007/978-3-540-78604-7"
33;Alexandre César Muniz de Oliveira;Heurística baseada no simulated annealing aplicada ao problema de alocação de berços;ARTIGO-PUBLICADO;"1809614X";GEPROS. Gestão da Produção, Operações e Sistemas;2008;B4;COMPLETO;;"Geraldo Regis Mauri;Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";""
33;Alexandre César Muniz de Oliveira;A Hybrid Column Generation Approach for the Berth Allocation Problem;TRABALHO-EM-EVENTOS;EVOCOP;EvoCOP 2008 - Eighth European Conference on Evolutionary Computation in Combinatorial Optimisation - Lecture Notes in Science Computer;2008;B2;INTERNACIONAL;;"Geraldo Regis Mauri;Alexandre César Muniz de Oliveira;Luiz Antonio Nogueira Lorena;";"10.1007/978-3-540-78604-7_10"
33;Alexandre César Muniz de Oliveira;Hybrid Evolutionary Algorithms and Clustering Search;CAPITULO-DE-LIVRO-PUBLICADO;-;Studies in Computational Intelligence - Springer Berlin Heidelberg;2007;SQ;;;"Alexandre César Muniz de Oliveira;Luiz Antonio de Nogueira Lorena;";"10.1007/978-3-540-73297-6_4"
